"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","141","Negative: некорректная структура/типы — name числом","Сервис объявлений","Sun Apr 05 14:31:20 UTC 2026","passed","Sun Apr 05 14:31:20 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","138","Negative: некорректная структура/типы — price дробным","Сервис объявлений","Sun Apr 05 14:31:14 UTC 2026","passed","Sun Apr 05 14:31:14 UTC 2026","Создание объявления","Объявления","",""
"Отрицательный sellerID должен отклоняться с 400; не использовать sellerID=-1 (зависание, BUG-003). Подробнее: BUGS.md#BUG-008","137","[BUG-008] POST: отрицательный sellerID=-111111 принимается","Сервис объявлений","Sun Apr 05 14:31:24 UTC 2026","failed","Sun Apr 05 14:31:24 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","136","Negative: некорректная структура/типы — sellerID дробным","Сервис объявлений","Sun Apr 05 14:31:19 UTC 2026","passed","Sun Apr 05 14:31:19 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","136","Negative: некорректная структура/типы — нет viewCount в statistics","Сервис объявлений","Sun Apr 05 14:31:14 UTC 2026","passed","Sun Apr 05 14:31:15 UTC 2026","Создание объявления","Объявления","",""
"Создаём несколько объявлений одного продавца и проверяем, что все возвращённые объявления имеют корректный sellerId","594","Все объявления в ответе принадлежат нужному sellerId","Сервис объявлений","Sun Apr 05 14:32:14 UTC 2026","passed","Sun Apr 05 14:32:14 UTC 2026","Получение объявлений продавца","Объявления","",""
"2^53+1 принимается с 200; INT_MAX — ожидаемый валидный случай. Отрицательный sellerID — см. TestCreateItemNegativeSellerIDPost","137","sellerID=2^53+1 принимается","Сервис объявлений","Sun Apr 05 14:31:20 UTC 2026","passed","Sun Apr 05 14:31:20 UTC 2026","Создание объявления","Объявления","",""
"Создаём объявление, получаем статистику по UUID и проверяем структуру ответа","437","Получение статистики по созданному объявлению","Сервис объявлений","Sun Apr 05 14:31:15 UTC 2026","passed","Sun Apr 05 14:31:16 UTC 2026","","Статистика","",""
"API должен возвращать 400 при отсутствующих или некорректных полях","143","Negative: отсутствие обязательных полей — отсутствует sellerID","Сервис объявлений","Sun Apr 05 14:31:20 UTC 2026","passed","Sun Apr 05 14:31:21 UTC 2026","Создание объявления","Объявления","",""
"Чрезмерная длина названия должна отклоняться с 400; фактически API принимает. Подробнее: BUGS.md#BUG-009","585","[BUG-009] name из 100000 символов должен возвращать 400","Сервис объявлений","Sun Apr 05 14:31:25 UTC 2026","failed","Sun Apr 05 14:31:25 UTC 2026","Создание объявления","Объявления","",""
"API должен возвращать 400 при отсутствующих или некорректных полях","135","Negative: отсутствие обязательных полей — отсутствует price (без поля)","Сервис объявлений","Sun Apr 05 14:31:17 UTC 2026","passed","Sun Apr 05 14:31:17 UTC 2026","Создание объявления","Объявления","",""
"Фактически API принимает огромные значения statistics; допустим ответ 400","136","statistics со значениями 2^53+1","Сервис объявлений","Sun Apr 05 14:31:16 UTC 2026","passed","Sun Apr 05 14:31:16 UTC 2026","Создание объявления","Объявления","",""
"Ожидаемое поведение — 400; фактически 200 (BUG-006). Тест фиксирует текущий ответ.","203","[BUG-006] Отрицательный sellerID в пути — фиксация ответа 200","Сервис объявлений","Sun Apr 05 14:32:32 UTC 2026","passed","Sun Apr 05 14:32:32 UTC 2026","Получение объявлений продавца","Объявления","",""
"Граничное значение: sellerID=9007199254740993 (2^53+1). Ограничение сверху не задокументировано — фиксируем поведение","60142","sellerID=2^53+1 — очень большой sellerID","Сервис объявлений","Sun Apr 05 14:31:13 UTC 2026","failed","Sun Apr 05 14:32:13 UTC 2026","Получение объявлений продавца","Объявления","",""
"GET /api/1/statistic/:id со строкой не в формате UUID должен возвращать 400 Bad Request","140","Negative: невалидный формат ID статистики — строка вместо UUID","Сервис объявлений","Sun Apr 05 14:31:17 UTC 2026","passed","Sun Apr 05 14:31:17 UTC 2026","","Статистика","",""
"Сложные символы Unicode должны приниматься API","141","Security: составной эмодзи в name","Сервис объявлений","Sun Apr 05 14:31:16 UTC 2026","passed","Sun Apr 05 14:31:16 UTC 2026","Создание объявления","Объявления","",""
"Пустой statistics, отсутствие подполей, null, строки/дроби вместо int, массив вместо объекта","137","Negative: некорректная структура/типы — statistics строкой","Сервис объявлений","Sun Apr 05 14:31:17 UTC 2026","passed","Sun Apr 05 14:31:17 UTC 2026","Создание объявления","Объявления","",""
"API должен отклонять отрицательные счётчики с 400, но принимает и сохраняет объявление. Подробнее: BUGS.md#BUG-004","137","[BUG-004] Отрицательные statistics — contacts=-1","Сервис объявлений","Sun Apr 05 14:31:16 UTC 2026","failed","Sun Apr 05 14:31:16 UTC 2026","Создание объявления","Объявления","",""
"GET /api/1/item/:id с UUID, которого нет в базе, должен возвращать 404 Not Found","136","Несуществующий UUID возвращает 404","Сервис объявлений","Sun Apr 05 14:32:15 UTC 2026","passed","Sun Apr 05 14:32:15 UTC 2026","Получение объявления","Объявления","",""
